variation_type,specification,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label,status,notes
universe,core,1,peer_catchup,226,226,0.0026150612839820784,0.000272013731849055,0.0001812533690753169,0.00504886919888884,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,1,initiator_reversal,226,226,0.0027812498461984568,0.0025580787799749246,-0.00211619370151904,0.007678693393915954,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,3,convergence,196,196,0.0020598446295170703,0.001204447007449717,-0.00429961911408659,0.00841930837312073,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,3,peer_catchup,196,196,0.001762908247353488,-0.0003172973315667257,-0.0015730388695140312,0.005098855364221007,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,3,initiator_reversal,196,196,0.0002969363821635826,-0.0018573194700174274,-0.005727176439929365,0.00632104920425653,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,5,convergence,173,173,0.003760951149214081,0.0009755050179123606,-0.003995375875189864,0.011517278173618027,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,5,peer_catchup,173,173,0.0021766361934518535,-0.0009148276990219072,-0.0019951318677767114,0.0063484042546804184,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,5,initiator_reversal,173,173,0.0015843149557622281,-0.0008878947378266047,-0.005285901951434516,0.008454531862958973,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,10,convergence,114,114,-0.0014756532783217814,-0.004646014321721376,-0.01572711587556608,0.01277580931892252,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,10,peer_catchup,114,114,0.002647004570049579,0.002729799632783358,-0.004863628172090453,0.01015763731218961,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
